央视,#genre#
CCTV-17,http://rihou.cc:555/tv/[JR]CCTV-17
CCTV-4k,http://rihou.cc:555/tv/[JR]CCTV-4k
CGTN-英,http://rihou.cc:555/tv/[JR]CGTN-英
北京卫视,http://rihou.cc:555/tv/[JR]北京卫视
东方卫视,http://rihou.cc:555/tv/[JR]东方卫视
浙江卫视,http://rihou.cc:555/tv/[JR]浙江卫视
江苏卫视,http://rihou.cc:555/tv/[JR]江苏卫视
湖南卫视,http://rihou.cc:555/tv/[JR]湖南卫视
广东卫视,http://rihou.cc:555/tv/[JR]广东卫视
深圳卫视,http://rihou.cc:555/tv/[JR]深圳卫视
天津卫视,http://rihou.cc:555/tv/[JR]天津卫视
安徽卫视,http://rihou.cc:555/tv/[JR]安徽卫视
山东卫视,http://rihou.cc:555/tv/[JR]山东卫视
山西卫视,http://rihou.cc:555/tv/[JR]山西卫视
辽宁卫视,http://rihou.cc:555/tv/[JR]辽宁卫视
河北卫视,http://rihou.cc:555/tv/[JR]河北卫视
河南卫视,http://rihou.cc:555/tv/[JR]河南卫视
江西卫视,http://rihou.cc:555/tv/[JR]江西卫视
四川卫视,http://rihou.cc:555/tv/[JR]四川卫视
重庆卫视,http://rihou.cc:555/tv/[JR]重庆卫视
贵州卫视,http://rihou.cc:555/tv/[JR]贵州卫视
湖北卫视,http://rihou.cc:555/tv/[JR]湖北卫视
广西卫视,http://rihou.cc:555/tv/[JR]广西卫视
云南卫视,http://rihou.cc:555/tv/[JR]云南卫视
东南卫视,http://rihou.cc:555/tv/[JR]东南卫视
海南卫视,http://rihou.cc:555/tv/[JR]海南卫视
青海卫视,http://rihou.cc:555/tv/[JR]青海卫视
陕西卫视,http://rihou.cc:555/tv/[JR]陕西卫视
甘肃卫视,http://rihou.cc:555/tv/[JR]甘肃卫视
吉林卫视,http://rihou.cc:555/tv/[JR]吉林卫视
内蒙古视,http://rihou.cc:555/tv/[JR]内蒙古视
黑龙江视,http://rihou.cc:555/tv/[JR]黑龙江视
CCTV-01,http://183.162.224.36:35455/mgtv/608807420.m3u8
CCTV-02,http://183.162.224.36:35455/mgtv/631780532.m3u8
CCTV-03,http://183.162.224.36:35455/mgtv/624878271.m3u8
CCTV-04,http://183.162.224.36:35455/mgtv/631780421.m3u8
CCTV-05,http://183.162.224.36:35455/mgtv/641886683.m3u8
CCTV-5+,http://183.162.224.36:35455/mgtv/641886773.m3u8
CCTV-06,http://183.162.224.36:35455/mgtv/624878396.m3u8
CCTV-07,http://183.162.224.36:35455/mgtv/673168121.m3u8
CCTV-08,http://183.162.224.36:35455/mgtv/624878356.m3u8
CCTV-09,http://183.162.224.36:35455/mgtv/673168140.m3u8
CCTV-10,http://183.162.224.36:35455/mgtv/624878405.m3u8
CCTV-11,http://183.162.224.36:35455/mgtv/667987558.m3u8
CCTV-12,http://183.162.224.36:35455/mgtv/673168185.m3u8
CCTV-13,http://183.162.224.36:35455/mgtv/608807423.m3u8
CCTV-14,http://183.162.224.36:35455/mgtv/624878440.m3u8
